id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10663505,HOUSE,HOUSE,Leuze-En-Hainaut,Hainaut,7900,169000,residential_sale,3,0,0,,True,True,,,,190.0,1040.0,3.0,,0
10664197,HOUSE,APARTMENT_BLOCK,Musson,Luxembourg,6750,245000,residential_sale,4,63,0,,True,True,30.0,,,176.0,275.0,2.0,,to_be_done_up
10665091,HOUSE,HOUSE,Ekeren,Antwerp,2180,349000,residential_sale,4,0,0,,False,,,True,45.0,212.0,126.0,2.0,,good
10663780,HOUSE,HOUSE,Liege,Liège,4020,479000,residential_sale,4,0,installed,,False,True,20.0,True,20.0,295.0,0.0,3.0,False,as_new
10663298,HOUSE,VILLA,Oedelem,West Flanders,8730,575000,residential_sale,6,55,installed,,False,,,,,,969.0,4.0,,good
10664437,HOUSE,HOUSE,Antwerp,Antwerp,2018,1185000,residential_sale,6,0,installed,,True,True,35.0,True,45.0,485.0,165.0,2.0,,0
10665544,HOUSE,VILLA,Temse,East Flanders,9140,1589000,residential_sale,10,0,hyper_equipped,,True,True,,True,,825.0,4670.0,4.0,True,as_new
10670780,HOUSE,HOUSE,Ellezelles,Hainaut,7890,355000,residential_sale,3,0,installed,,True,True,,,,120.0,955.0,4.0,,0
10670342,HOUSE,HOUSE,RAMSDONK,Flemish Brabant,1880,425000,residential_sale,3,42,installed,,True,,,True,,270.0,464.0,4.0,,good
10668916,HOUSE,HOUSE,Walhain,Walloon Brabant,1457,495000,residential_sale,4,31,installed,False,False,True,,True,900.0,218.0,1020.0,4.0,False,good
10668864,HOUSE,MIXED_USE_BUILDING,Woluwe-Saint-Lambert,Brussels,1200,559000,residential_sale,4,30,not_installed,False,False,,,,,212.0,175.0,2.0,False,to_renovate
10669996,HOUSE,HOUSE,Heers,Limburg,3870,975000,residential_sale,5,0,installed,True,True,True,100.0,,,700.0,3600.0,4.0,,good
10602414,APARTMENT,APARTMENT,Uccle,Brussels,1180,1150000,residential_sale,3,35,usa_hyper_equipped,False,False,True,50.0,True,350.0,165.0,0.0,4.0,False,as_new
9553014,APARTMENT,APARTMENT,Forest,Brussels,1190,1200000,residential_sale,3,210,usa_hyper_equipped,False,False,,,,,315.0,0.0,2.0,False,as_new
10538127,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,1595000,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,95.0,,2.0,False,good
10622460,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,1850000,residential_sale,3,0,hyper_equipped,,False,,,,,201.0,,3.0,True,as_new
10541574,APARTMENT,APARTMENT,Knokke-Heist Knokke,West Flanders,8300,1995000,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,89.0,,2.0,,as_new
10538849,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,1995000,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,81.0,,2.0,False,as_new
10040920,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,1995000,residential_sale,4,0,hyper_equipped,True,False,True,,,,141.0,0.0,4.0,False,as_new
10639052,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2100000,residential_sale,3,0,usa_hyper_equipped,False,False,True,,,,123.0,0.0,,False,just_renovated
10537083,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2125000,residential_sale,3,0,usa_hyper_equipped,False,False,True,,,,117.0,,2.0,False,just_renovated
10349006,APARTMENT,PENTHOUSE,Knokke-Heist,West Flanders,8300,2195000,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,129.0,,2.0,False,as_new
10353960,APARTMENT,APARTMENT,Knokke-Heist Knokke,West Flanders,8300,2250000,residential_sale,2,0,0,True,False,True,13.0,,,97.0,,2.0,False,as_new
10642300,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2295000,residential_sale,3,0,usa_hyper_equipped,,False,True,,,,110.0,0.0,2.0,False,as_new
10261738,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2395000,residential_sale,3,0,hyper_equipped,False,False,True,,,,108.0,0.0,2.0,False,as_new
10572578,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2800000,residential_sale,4,0,hyper_equipped,False,False,True,,True,312.0,180.0,0.0,3.0,False,as_new
10157726,APARTMENT,DUPLEX,Knokke-Heist,West Flanders,8300,2990000,residential_sale,3,0,hyper_equipped,False,False,True,,,,181.0,,2.0,False,as_new
10667617,APARTMENT,APARTMENT,Ixelles,Brussels,1050,415000,residential_sale,2,0,0,True,False,True,8.0,,,89.0,0.0,4.0,False,good
10653003,APARTMENT,APARTMENT,Charleroi,Hainaut,6000,98000,residential_sale,2,0,not_installed,,True,,,,,59.0,0.0,,,to_renovate
10652102,APARTMENT,APARTMENT,Evere,Brussels,1140,220000,residential_sale,1,31,usa_hyper_equipped,False,False,True,26.0,,,48.0,0.0,2.0,False,good
10652101,APARTMENT,FLAT_STUDIO,Evere,Brussels,1140,220000,residential_sale,0,31,usa_hyper_equipped,False,False,True,26.0,,,48.0,0.0,2.0,False,good
10651879,APARTMENT,APARTMENT,BREENDONK,Antwerp,2870,284000,residential_sale,1,36,hyper_equipped,,True,True,12.0,,,78.0,0.0,3.0,,0
10671513,APARTMENT,APARTMENT,Ronse,East Flanders,9600,325000,residential_sale,4,34,semi_equipped,False,False,True,30.0,True,100.0,280.0,0.0,3.0,False,good
10671397,APARTMENT,APARTMENT,Leuven,Flemish Brabant,3000,375000,residential_sale,2,0,0,,False,,,,,88.0,,,False,0
10671518,APARTMENT,LOFT,Bruxelles,Brussels,1000,499000,residential_sale,2,58,usa_hyper_equipped,False,False,True,25.0,,,160.0,0.0,3.0,False,as_new
10671775,APARTMENT,DUPLEX,Ixelles,Brussels,1050,570000,residential_sale,2,31,hyper_equipped,False,False,,,,,135.0,0.0,2.0,False,as_new
10657073,APARTMENT,APARTMENT,Libramont-Chevigny,Luxembourg,6800,159000,residential_sale,2,0,0,False,False,,,,,72.0,0.0,3.0,False,0
10674887,APARTMENT,FLAT_STUDIO,NAMÊCHE,Namur,5300,86000,residential_sale,0,0,semi_equipped,,True,True,,,,40.0,0.0,,,to_be_done_up
10674499,APARTMENT,APARTMENT,De Haan,West Flanders,8420,92000,residential_sale,1,0,installed,False,False,True,,True,,23.0,,,False,good
10658557,APARTMENT,APARTMENT,Torhout,West Flanders,8820,159000,residential_sale,2,29,installed,False,False,,,,,86.0,,,False,good
10658633,APARTMENT,APARTMENT,Ixelles,Brussels,1050,575000,residential_sale,3,0,installed,False,False,True,15.0,,,93.0,0.0,2.0,False,good
10658571,APARTMENT,APARTMENT,Uccle,Brussels,1180,599000,residential_sale,3,63,hyper_equipped,,False,True,15.0,,,180.0,0.0,2.0,False,just_renovated
10675243,HOUSE,HOUSE,Oudenburg,West Flanders,8460,189000,residential_sale,2,25,installed,False,False,True,17.0,True,,75.0,56.0,,False,0
10677853,HOUSE,HOUSE,Zottegem,East Flanders,9620,240000,residential_sale,4,0,semi_equipped,,True,True,,,,272.0,726.0,3.0,,to_be_done_up
10676759,HOUSE,HOUSE,HAUT-FAYS,Luxembourg,6929,295000,residential_sale,4,0,0,,True,,,True,,197.0,661.0,4.0,,just_renovated
10675537,HOUSE,APARTMENT_BLOCK,Liège,Liège,4000,299000,residential_sale,2,24,semi_equipped,,False,True,29.0,True,100.0,270.0,0.0,2.0,False,good
10677304,HOUSE,HOUSE,Ichtegem,West Flanders,8480,319000,residential_sale,3,0,semi_equipped,,True,True,,,,213.0,325.0,2.0,,good
10676622,HOUSE,VILLA,Soye,Namur,5150,325000,residential_sale,4,36,hyper_equipped,,True,True,,,,160.0,1227.0,4.0,,as_new
10677812,HOUSE,HOUSE,Aarschot,Flemish Brabant,3201,370000,residential_sale,3,0,semi_equipped,,True,,,True,,264.0,0.0,3.0,,just_renovated
10677143,HOUSE,HOUSE,SINT-KATELIJNE-WAVER,Antwerp,2860,375000,residential_sale,3,32,semi_equipped,,True,,,True,,198.0,0.0,3.0,,to_be_done_up
10678372,HOUSE,HOUSE,Gent,East Flanders,9000,458000,residential_sale,4,0,installed,,True,True,,,,163.0,172.0,2.0,,0
