id,type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10357607,HOUSE,HOUSE,Brussels,Schaerbeek,1030.0,685000.0,5.0,0.0,0.0,0.0,0.0,1.0,,1.0,70.0,280.0,149.0,2.0,0.0,needs renovating
10095454,HOUSE,HOUSE,Walloon Brabant,Waterloo,1410.0,685000.0,4.0,0.0,1.0,0.0,0.0,1.0,,1.0,50.0,180.0,140.0,2.0,0.0,as_new
10621069,HOUSE,HOUSE,Flemish Brabant,Beersel,1650.0,685000.0,4.0,20.0,1.0,,1.0,1.0,30.0,,,227.0,716.0,4.0,,good
10659514,HOUSE,COUNTRY_COTTAGE,Antwerp,Hove,2540.0,688000.0,3.0,68.0,1.0,1.0,0.0,1.0,1.0,1.0,900.0,,1040.0,4.0,0.0,as_new
10677253,HOUSE,HOUSE,Antwerp,SINT-KATELIJNE-WAVER,2860.0,688000.0,4.0,0.0,1.0,,1.0,1.0,,1.0,,316.0,1514.0,4.0,,good
10597877,HOUSE,APARTMENT_BLOCK,Antwerp,SINT-KATELIJNE-WAVER,2860.0,688000.0,6.0,0.0,0.0,,1.0,1.0,,1.0,,,730.0,,,good
10528204,APARTMENT,PENTHOUSE,West Flanders,Oostende,8400.0,689000.0,2.0,0.0,,,0.0,1.0,45.0,,,100.0,0.0,,,good
10615572,HOUSE,VILLA,Flemish Brabant,Leeuw-Saint-Pierre,1600.0,689000.0,3.0,32.0,1.0,,0.0,1.0,65.0,1.0,900.0,213.0,1261.0,4.0,0.0,just_renovated
10458992,HOUSE,HOUSE,Luxembourg,WOLKRANGE,6780.0,690000.0,4.0,28.0,1.0,,1.0,1.0,,1.0,,250.0,450.0,4.0,,as_new
10631166,APARTMENT,APARTMENT,Brussels,Auderghem,1160.0,690000.0,3.0,0.0,,0.0,0.0,,,,,160.0,0.0,,0.0,good
10615796,HOUSE,FARMHOUSE,Namur,Namur,5000.0,690000.0,5.0,0.0,0.0,,1.0,1.0,40.0,1.0,19474.0,800.0,19474.0,4.0,,needs renovating
10067812,APARTMENT,APARTMENT,Brussels,Uccle,1180.0,690000.0,2.0,45.0,1.0,0.0,0.0,1.0,37.0,,,110.0,0.0,2.0,,good
9325783,APARTMENT,PENTHOUSE,Hainaut,Jurbise,7050.0,690000.0,3.0,107.0,1.0,,1.0,1.0,175.0,,,230.0,0.0,4.0,,good
