id,type_of_property,subtype_of_property,province,locality,postalCode,price,number_of_bedrooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_property_area,total_land_area,number_of_facades,swimming_pool,state_of_the_building
10616663.0,HOUSE,HOUSE,Flemish Brabant,Diest,3290.0,379000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,175.0,1039.0,4.0,0.0,0
10678050.0,APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,379000.0,2.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,88.0,0.0,4.0,0.0,1
10607486.0,HOUSE,MANSION,East Flanders,Kluisbergen,9690.0,379000.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,200.0,1605.0,4.0,0.0,1
10658203.0,HOUSE,HOUSE,East Flanders,Boekhoute,9961.0,379000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180.0,1249.0,3.0,0.0,1
10572131.0,APARTMENT,GROUND_FLOOR,Antwerp,Lier,2500.0,379000.0,3.0,0.0,1.0,0.0,1.0,1.0,37.0,1.0,70.0,111.0,0.0,2.0,0.0,0
10615985.0,HOUSE,HOUSE,Flemish Brabant,SINT-PIETERS-LEEUW,1600.0,379000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,171.0,972.0,3.0,0.0,0
10630430.0,APARTMENT,DUPLEX,Antwerp,Antwerp,2000.0,375000.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0,0.0,2.0,0.0,1
10342535.0,HOUSE,HOUSE,Antwerp,Olen,2250.0,375000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,143.0,501.0,3.0,0.0,1
10596897.0,HOUSE,HOUSE,Brussels,Bruxelles ville,1000.0,375000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,26.0,2.0,0.0,1
10485609.0,HOUSE,HOUSE,Limburg,LOKSBERGEN,3545.0,379000.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,221.0,1250.0,4.0,0.0,1
10643949.0,HOUSE,HOUSE,Antwerp,Duffel,2570.0,380000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,208.0,1225.0,4.0,0.0,0
10645565.0,HOUSE,HOUSE,Limburg,Houthalen-Helchteren,3530.0,385000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,303.0,522.0,4.0,0.0,1
10652783.0,HOUSE,MIXED_USE_BUILDING,Brussels,Bruxelles,1000.0,385000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,27.0,2.0,0.0,1
10603869.0,HOUSE,VILLA,Hainaut,Arbre,7811.0,384000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,154.0,842.0,4.0,0.0,0
10600481.0,HOUSE,HOUSE,Antwerp,Niel,2845.0,384000.0,3.0,0.0,1.0,0.0,0.0,1.0,20.0,1.0,118.0,148.0,197.0,2.0,0.0,1
10579524.0,HOUSE,HOUSE,West Flanders,Bredene,8450.0,382500.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,2.0,0.0,1
10547250.0,HOUSE,HOUSE,Brussels,Anderlecht,1070.0,380000.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,1.0,85.0,180.0,227.0,2.0,0.0,0
10631903.0,HOUSE,BUNGALOW,Hainaut,Mons Harveng,7022.0,380000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,770.0,160.0,1058.0,4.0,0.0,1
10555327.0,HOUSE,HOUSE,Liège,Wanze,4520.0,380000.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,190.0,1490.0,3.0,0.0,1
10676486.0,APARTMENT,PENTHOUSE,Brussels,Brussels,1000.0,380000.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,94.0,0.0,3.0,0.0,0
10589862.0,HOUSE,VILLA,East Flanders,Oudenaarde,9700.0,380000.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,930.0,4.0,0.0,0
10509923.0,APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,395000.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,63.0,0.0,2.0,0.0,1
10453509.0,HOUSE,HOUSE,Limburg,Tessenderlo,3980.0,398000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,278.0,879.0,4.0,0.0,1
10619299.0,HOUSE,HOUSE,Liège,Jupille,4020.0,397000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,475.0,135.0,595.0,4.0,0.0,1
10069986.0,APARTMENT,LOFT,Namur,Sambreville Tamines,5060.0,396000.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,550.0,0.0,4.0,0.0,1
10670851.0,APARTMENT,APARTMENT,Antwerp,Brasschaat,2930.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,145.0,0.0,2.0,0.0,1
10557404.0,HOUSE,COUNTRY_COTTAGE,Hainaut,Soignies Casteau,7061.0,395000.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,206.0,10602.0,4.0,0.0,0
10621149.0,HOUSE,APARTMENT_BLOCK,Brussels,SAINT-JOSSE-TEN-NOODE,1210.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,30.0,0.0,0.0,180.0,92.0,2.0,0.0,1
10642026.0,HOUSE,HOUSE,East Flanders,Ronse,9600.0,398000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,240.0,270.0,2.0,0.0,1
10658443.0,HOUSE,HOUSE,Antwerp,Brasschaat,2930.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,141.0,352.0,3.0,0.0,1
10606912.0,HOUSE,HOUSE,East Flanders,Maldegem,9990.0,395000.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,196.0,685.0,3.0,0.0,1
10647467.0,HOUSE,HOUSE,West Flanders,Oostkamp,8020.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,167.0,771.0,3.0,0.0,1
10275945.0,HOUSE,HOUSE,Brussels,Koekelberg,1081.0,395000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,204.0,0.0,3.0,0.0,1
10539672.0,HOUSE,HOUSE,Flemish Brabant,Gooik,1755.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,165.0,448.0,3.0,0.0,1
10534404.0,HOUSE,APARTMENT_BLOCK,Brussels,Uccle,1180.0,395000.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,2.0,0.0,1
10534403.0,HOUSE,HOUSE,Brussels,Uccle,1180.0,395000.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,2.0,0.0,1
10422137.0,HOUSE,HOUSE,Flemish Brabant,Kapelle-op-den-Bos,1880.0,395000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,175.0,394.0,3.0,0.0,1
10643084.0,HOUSE,HOUSE,Flemish Brabant,Rotselaar,3110.0,395000.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,164.0,100.0,224.0,3.0,0.0,1
10613759.0,HOUSE,HOUSE,Hainaut,Ecaussinnes,7190.0,395000.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,834.0,3.0,1.0,1
10589801.0,HOUSE,COUNTRY_COTTAGE,Hainaut,Deux-Acren,7864.0,398000.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,320.0,7112.0,4.0,0.0,0
10648757.0,APARTMENT,APARTMENT,Brussels,Watermael-Boitsfort,1170.0,399000.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,90.0,0.0,2.0,0.0,1
10551286.0,HOUSE,HOUSE,Antwerp,SINT-LENAARTS,2960.0,399000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,159.0,651.0,3.0,0.0,0
10616644.0,HOUSE,HOUSE,Flemish Brabant,Diest,3290.0,399000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,231.0,642.0,3.0,0.0,1
10561381.0,HOUSE,HOUSE,Namur,Gedinne Houdremont,5575.0,399000.0,5.0,0.0,1.0,0.0,0.0,1.0,40.0,1.0,1140.0,277.0,1939.0,4.0,1.0,1
10455897.0,APARTMENT,APARTMENT,West Flanders,Wielsbeke,8710.0,399000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,170.0,0.0,2.0,0.0,1
10606151.0,HOUSE,COUNTRY_COTTAGE,Hainaut,Lessines,7860.0,398000.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,320.0,7112.0,4.0,0.0,0
10648690.0,HOUSE,HOUSE,East Flanders,Adegem,9991.0,399000.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,206.0,5239.0,4.0,0.0,0
10524106.0,APARTMENT,PENTHOUSE,Brussels,Auderghem,1160.0,398000.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,102.0,0.0,2.0,0.0,1
10678447.0,HOUSE,HOUSE,East Flanders,De Klinge,9170.0,398000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,153.0,274.0,3.0,0.0,1
10577790.0,HOUSE,HOUSE,West Flanders,De Haan,8420.0,399000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,284.0,380.0,3.0,0.0,1
10155500.0,HOUSE,BUNGALOW,Walloon Brabant,HÉVILLERS,1435.0,395000.0,4.0,0.0,0.0,0.0,1.0,1.0,36.0,1.0,0.0,130.0,1714.0,4.0,0.0,0
10666740.0,HOUSE,HOUSE,Antwerp,Wommelgem,2160.0,395000.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,640.0,180.0,640.0,3.0,0.0,0
10606305.0,HOUSE,HOUSE,East Flanders,Nazareth,9810.0,395000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,715.0,228.0,1050.0,3.0,0.0,0
10659163.0,HOUSE,MIXED_USE_BUILDING,Liège,VIERSET-BARSE,4577.0,395000.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,286.0,958.0,4.0,0.0,1
10659164.0,HOUSE,HOUSE,Liège,VIERSET-BARSE,4577.0,395000.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,286.0,958.0,4.0,0.0,1
10470347.0,HOUSE,HOUSE,Brussels,Anderlecht,1070.0,395000.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,70.0,224.0,250.0,2.0,0.0,1
10657404.0,HOUSE,FARMHOUSE,Hainaut,Manage,7170.0,395000.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,386.0,6820.0,4.0,0.0,1
10259406.0,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,395000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,0.0,1
10397819.0,HOUSE,HOUSE,Brussels,SINT-JANS-MOLENBEEK,1080.0,395000.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,153.0,0.0,2.0,0.0,0
10621146.0,HOUSE,HOUSE,Brussels,Schaerbeek,1030.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,30.0,0.0,0.0,180.0,92.0,2.0,0.0,1
10095125.0,HOUSE,HOUSE,Hainaut,STAMBRUGES,7973.0,395000.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,155.0,11699.0,4.0,0.0,1
10621148.0,HOUSE,APARTMENT_BLOCK,Brussels,Schaerbeek,1030.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,30.0,0.0,0.0,180.0,92.0,2.0,0.0,1
10587055.0,HOUSE,HOUSE,West Flanders,Zuienkerke,8377.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,143.0,172.0,2.0,0.0,1
10621147.0,HOUSE,HOUSE,Brussels,SAINT-JOSSE-TEN-NOODE,1210.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,30.0,0.0,0.0,180.0,92.0,2.0,0.0,1
10678045.0,HOUSE,HOUSE,Flemish Brabant,Gooik,1755.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,165.0,448.0,3.0,0.0,1
10669184.0,HOUSE,HOUSE,East Flanders,Geraardsbergen,9500.0,395000.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,450.0,3.0,0.0,1
10655069.0,HOUSE,APARTMENT_BLOCK,Flemish Brabant,Beersel,1650.0,395000.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,164.0,240.0,3.0,0.0,0
10415862.0,HOUSE,HOUSE,East Flanders,Gent,9000.0,395000.0,4.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,116.0,53.0,2.0,0.0,1
10664489.0,HOUSE,HOUSE,Walloon Brabant,Waterloo,1410.0,395000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,165.0,311.0,2.0,0.0,1
10478474.0,HOUSE,VILLA,Hainaut,Flobecq,7880.0,395000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,215.0,1160.0,4.0,0.0,1
