type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
APARTMENT,APARTMENT,West Flanders,Wakken,8720.0,344500.0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,500.0,0.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Wakken,8720.0,344500.0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,500.0,600.0,2.0,0,1
APARTMENT,PENTHOUSE,Antwerp,Lier,2500.0,344000.0,2,0,1.0,0.0,1,1.0,39.0,1.0,0.0,100.0,0.0,2.0,0,0
APARTMENT,APARTMENT,Brussels,Evere,1140.0,344000.0,2,0,1.0,0.0,0,1.0,11.0,0.0,0.0,95.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Antwerp,Antwerpen,2020.0,344000.0,2,0,1.0,0.0,0,0.0,0.0,0.0,0.0,105.0,0.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Aalst,9300.0,344000.0,4,0,1.0,0.0,0,1.0,1.0,1.0,59.0,138.0,138.0,2.0,0,1
HOUSE,HOUSE,Flemish Brabant,SCHAFFEN,3290.0,345000.0,3,0,0.0,0.0,1,1.0,0.0,1.0,0.0,137.0,1591.0,4.0,0,0
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,345000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Bredene,8450.0,348000.0,3,0,1.0,0.0,0,1.0,0.0,1.0,0.0,156.0,261.0,3.0,0,1
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,345000.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Antwerp,Antwerpen,2610.0,345000.0,2,0,1.0,0.0,0,1.0,6.0,0.0,0.0,100.0,0.0,4.0,0,1
APARTMENT,APARTMENT,West Flanders,La Panne,8660.0,345000.0,2,0,1.0,1.0,0,1.0,20.0,0.0,0.0,80.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Evere,1140.0,345000.0,2,0,1.0,0.0,0,1.0,16.0,0.0,0.0,94.0,0.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Ronse,9600.0,329000.0,3,0,0.0,0.0,1,0.0,0.0,0.0,0.0,155.0,555.0,3.0,0,0
HOUSE,HOUSE,Namur,Florennes,5620.0,349900.0,4,0,0.0,0.0,1,1.0,25.0,0.0,0.0,133.0,616.0,3.0,0,0
HOUSE,HOUSE,East Flanders,SINT-LIEVENS-HOUTEM,9520.0,315000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,150.0,530.0,3.0,0,1
HOUSE,HOUSE,Liège,Anthisnes,4160.0,315000.0,3,0,0.0,0.0,1,1.0,20.0,1.0,1100.0,125.0,1240.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Roeselare,8800.0,315000.0,3,0,0.0,0.0,0,1.0,0.0,0.0,0.0,203.0,733.0,3.0,0,0
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,315000.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,0,1
HOUSE,MANSION,Hainaut,Tournai,7500.0,315000.0,5,0,1.0,0.0,1,1.0,36.0,0.0,0.0,293.0,307.0,0.0,0,0
HOUSE,HOUSE,West Flanders,Kortrijk,8500.0,315000.0,2,0,0.0,0.0,0,1.0,0.0,1.0,200.0,124.0,504.0,4.0,0,0
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,315000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0,1
HOUSE,HOUSE,West Flanders,OOIGEM,8710.0,315000.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,245.0,640.0,2.0,0,1
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,315000.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,315000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,315000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Mechelen,2800.0,315000.0,5,0,1.0,0.0,1,0.0,0.0,1.0,35.0,160.0,150.0,2.0,0,1
APARTMENT,SERVICE_FLAT,West Flanders,Zwevegem,8550.0,315000.0,1,0,1.0,0.0,1,1.0,25.0,0.0,0.0,86.0,0.0,2.0,0,0
APARTMENT,PENTHOUSE,Antwerp,Antwerpen,2600.0,318000.0,3,0,1.0,0.0,1,1.0,24.0,0.0,0.0,120.0,0.0,3.0,0,1
APARTMENT,APARTMENT,Antwerp,Antwerpen,2100.0,318000.0,2,0,1.0,0.0,0,1.0,18.0,0.0,0.0,80.0,0.0,2.0,0,1
HOUSE,VILLA,West Flanders,Oostrozebeke,8780.0,317500.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,220.0,559.0,4.0,0,1
APARTMENT,APARTMENT,Brussels,Evere,1140.0,317000.0,2,0,1.0,0.0,0,1.0,3.0,0.0,0.0,89.0,0.0,2.0,0,1
HOUSE,HOUSE,Hainaut,POTTES,7760.0,315000.0,2,0,0.0,0.0,1,0.0,0.0,1.0,0.0,240.0,1550.0,4.0,0,1
APARTMENT,GROUND_FLOOR,Brussels,Evere,1140.0,317000.0,1,0,1.0,0.0,0,1.0,29.0,0.0,0.0,95.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Antwerp,Antwerpen,2018.0,315000.0,2,0,1.0,0.0,0,1.0,11.0,0.0,0.0,88.0,0.0,2.0,0,1
APARTMENT,APARTMENT,East Flanders,Gent,9000.0,319000.0,2,0,1.0,0.0,1,1.0,25.0,0.0,0.0,110.0,0.0,2.0,0,0
APARTMENT,APARTMENT,Antwerp,Antwerp,2000.0,314000.0,1,0,0.0,0.0,1,0.0,0.0,0.0,0.0,114.0,0.0,2.0,0,1
APARTMENT,GROUND_FLOOR,Brussels,Anderlecht,1070.0,309000.0,2,0,1.0,0.0,0,1.0,35.0,1.0,350.0,85.0,0.0,2.0,0,1
APARTMENT,APARTMENT,West Flanders,Brugge,8000.0,307650.0,3,0,1.0,0.0,1,1.0,7.0,0.0,0.0,112.0,0.0,2.0,0,0
APARTMENT,APARTMENT,Brussels,Evere,1140.0,307000.0,2,0,1.0,0.0,0,1.0,3.0,0.0,0.0,90.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Sint-Agatha-Berchem,1082.0,305000.0,3,0,1.0,0.0,0,1.0,21.0,0.0,0.0,112.0,0.0,3.0,0,1
APARTMENT,APARTMENT,Brussels,Woluwe-Saint-Lambert,1200.0,305000.0,2,0,0.0,0.0,0,1.0,9.0,0.0,0.0,94.0,0.0,2.0,0,0
APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,309000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,78.0,0.0,4.0,0,1
APARTMENT,GROUND_FLOOR,Brussels,Evere,1140.0,302000.0,1,0,1.0,0.0,0,1.0,25.0,0.0,0.0,91.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,300000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,300000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,0,1
HOUSE,HOUSE,Luxembourg,Dohan,6836.0,300000.0,6,0,0.0,0.0,1,0.0,0.0,0.0,0.0,302.0,528.0,2.0,0,0
HOUSE,HOUSE,West Flanders,Menen,8930.0,300000.0,3,0,0.0,0.0,1,1.0,22.0,1.0,2035.0,216.0,2217.0,3.0,0,0
HOUSE,TOWN_HOUSE,Brussels,FOREST,1190.0,300000.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,110.0,88.0,3.0,0,0
APARTMENT,PENTHOUSE,Brussels,Bruxelles,1000.0,309000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,80.0,0.0,3.0,0,1
APARTMENT,APARTMENT,Brussels,Evere,1140.0,312000.0,2,0,1.0,0.0,0,1.0,3.0,0.0,0.0,89.0,0.0,2.0,0,1
HOUSE,HOUSE,Luxembourg,REDU,6890.0,311000.0,3,0,0.0,0.0,1,1.0,0.0,1.0,0.0,101.0,790.0,4.0,0,1
